dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.1, dropedge_rate: 0.1, alpha: 1.0, Loss: 0.7892, TestAcc: 0.7490, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.1, dropedge_rate: 0.2, alpha: 1.0, Loss: 0.7923, TestAcc: 0.7480, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.1, dropedge_rate: 0.3, alpha: 1.0, Loss: 0.7886, TestAcc: 0.7480, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.1, dropedge_rate: 0.4, alpha: 1.0, Loss: 0.7854, TestAcc: 0.7520, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.1, dropedge_rate: 0.5, alpha: 1.0, Loss: 0.7911, TestAcc: 0.7520, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.2, dropedge_rate: 0.1, alpha: 1.0, Loss: 0.7879, TestAcc: 0.7510, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.2, dropedge_rate: 0.2, alpha: 1.0, Loss: 0.7914, TestAcc: 0.7500, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.2, dropedge_rate: 0.3, alpha: 1.0, Loss: 0.7902, TestAcc: 0.7490, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.2, dropedge_rate: 0.4, alpha: 1.0, Loss: 0.7843, TestAcc: 0.7510, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.2, dropedge_rate: 0.5, alpha: 1.0, Loss: 0.7874, TestAcc: 0.7540, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.3, dropedge_rate: 0.1, alpha: 1.0, Loss: 0.7910, TestAcc: 0.7470, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.3, dropedge_rate: 0.2, alpha: 1.0, Loss: 0.7888, TestAcc: 0.7500, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.3, dropedge_rate: 0.3, alpha: 1.0, Loss: 0.7911, TestAcc: 0.7460, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.3, dropedge_rate: 0.4, alpha: 1.0, Loss: 0.7864, TestAcc: 0.7500, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.3, dropedge_rate: 0.5, alpha: 1.0, Loss: 0.7877, TestAcc: 0.7470, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.4, dropedge_rate: 0.1, alpha: 1.0, Loss: 0.7885, TestAcc: 0.7490, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.4, dropedge_rate: 0.2, alpha: 1.0, Loss: 0.7880, TestAcc: 0.7530, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.4, dropedge_rate: 0.3, alpha: 1.0, Loss: 0.7863, TestAcc: 0.7470, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.4, dropedge_rate: 0.4, alpha: 1.0, Loss: 0.7880, TestAcc: 0.7540, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.4, dropedge_rate: 0.5, alpha: 1.0, Loss: 1.1031, TestAcc: 0.5670, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.5, dropedge_rate: 0.1, alpha: 1.0, Loss: 0.7896, TestAcc: 0.7460, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.5, dropedge_rate: 0.2, alpha: 1.0, Loss: 0.7932, TestAcc: 0.7440, Overall
dataset: citeseer, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.3, lam: 0.7, dropnode_rate: 0.1, dropfeature_rate: 0.5, dropedge_rate: 0.3, alpha: 1.0, Loss: 0.7997, TestAcc: 0.7430, Overall
