dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.0, dropfeature_rate: 0.0, dropedge_rate: 0.1, alpha: 0.5, Loss: 0.8793, TestAcc: 0.8530, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.0, dropfeature_rate: 0.0, dropedge_rate: 0.2, alpha: 0.5, Loss: 0.8891, TestAcc: 0.8480, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.0, dropfeature_rate: 0.0, dropedge_rate: 0.3, alpha: 0.5, Loss: 0.9086, TestAcc: 0.8510, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.0, dropfeature_rate: 0.0, dropedge_rate: 0.4, alpha: 0.5, Loss: 0.9254, TestAcc: 0.8550, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.0, dropfeature_rate: 0.0, dropedge_rate: 0.5, alpha: 0.5, Loss: 0.9415, TestAcc: 0.8480, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.0, dropfeature_rate: 0.1, dropedge_rate: 0.0, alpha: 0.5, Loss: 0.8871, TestAcc: 0.8490, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.0, dropfeature_rate: 0.1, dropedge_rate: 0.1, alpha: 0.5, Loss: 0.6419, TestAcc: 0.8510, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.0, dropfeature_rate: 0.1, dropedge_rate: 0.2, alpha: 0.5, Loss: 0.6477, TestAcc: 0.8480, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.0, dropfeature_rate: 0.1, dropedge_rate: 0.3, alpha: 0.5, Loss: 0.6528, TestAcc: 0.8520, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.0, dropfeature_rate: 0.1, dropedge_rate: 0.4, alpha: 0.5, Loss: 0.6623, TestAcc: 0.8500, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.0, dropfeature_rate: 0.1, dropedge_rate: 0.5, alpha: 0.5, Loss: 0.6706, TestAcc: 0.8500, Overall
